Kategorie;Bezeichnung1;Bezeichnung2;Bezeichnung3;Bezeichnung4;Suchbegriff;Verantwortlich
;;;;;;
Column;Column Name;Description / Remark;Location in proALPHA;Data Type;Format
1;Kategorie;Kategorie;PC_Kategorie.Kategorie;CHARACTER;x(50);
2;Bezeichnung1;Bezeichnung1;PC_KategorieSpr.Bezeichnung;CHARACTER;x(50);
3;Bezeichnung2;Bezeichnung2;PC_KategorieSpr.Bezeichnung;CHARACTER;x(50);
4;Bezeichnung3;Bezeichnung3;PC_KategorieSpr.Bezeichnung;CHARACTER;x(50);
5;Bezeichnung4;Bezeichnung4;PC_KategorieSpr.Bezeichnung;CHARACTER;x(50);
6;Suchbegriff;Suchbegriff;PC_Kategorie.Suchbegriff;CHARACTER;x(20);
7;Verantwortlich;Verantwortlicher;PC_Kategorie.Verantwortlicher;CHARACTER;x(12);
