Aktivität;Ressourcenposition;Ressourcenart;Ressource;Alternativgruppe;Intensität;Bemerkung;aktiv;Hilfsressource
;0;0;;;1;;yes;no
Column;Column Name;Description / Remark;Location in proALPHA;Data Type;Format
1;Aktivität;Operation;M_AktRess.Aktivitaet;CHARACTER;x(20);
2;Ressourcenposition;Resource Line;M_AktRess.RessPos;INTEGER;zzz9;
3;Ressourcenart;Resource Category;M_AktRess.RessArt;INTEGER;99;
4;Ressource;Resource;M_AktRess.Ressource;CHARACTER;x(20);
5;Alternativgruppe;Alternate Group;M_AktRess.AltGruppe;CHARACTER;x(20);
6;Intensität;Intensity;M_AktRess.Intensitaet;DECIMAL;zzz,zz9.99;
7;Bemerkung;Remark;M_AktRess.Bemerkung;CHARACTER;x(30);
8;aktiv;Active;M_AktRess.Aktiv;LOGICAL;ja/nein;
9;Hilfsressource;Auxiliary Resource;M_AktRess.HelpRes;LOGICAL;ja/nein;
