Bereich LT;Packmittelpool;Buchungsschlüssel;Bemerkung;Lagerort;Pufferbereich;Lagerplatz;Menge;Packmittel;Zubehör;Fremdbestand;Pool
V;0;;;?;;;0;;no;no;0
Column;Column Name;Description / Remark;Location in proALPHA;Data Type;Format
1;Bereich LT;Book;M_PackKonto.Bereich;CHARACTER;x;
2;Packmittelpool;Packaging Pool;M_PackKonto.Konto;INTEGER;zzzzzzzz;
3;Buchungsschlüssel;Posting Code;M_PackKonto.Buchungsschl;CHARACTER;x(4);
4;Bemerkung;Remark;M_PackKonto.Bemerkung;CHARACTER;x(60);
5;Lagerort;Storage Area;M_PackKonto.LagerOrt;INTEGER;zzzzzzz9;
6;Pufferbereich;Storage Area Section;M_PackKonto.LagerBereich;CHARACTER;x(3);
7;Lagerplatz;Storage Location;M_PackKonto.LagerPlatz;CHARACTER;x(20);
8;Menge;Quantity;M_PackKonto.Menge;DECIMAL;-zzz,zzz,zz9.999;
9;Packmittel;Packaging Material;M_PackKonto.Packmittel;CHARACTER;x(20);
10;Zubehör;Accessories;M_PackKonto.Zubehoer;LOGICAL;ja/nein;
11;Fremdbestand;External Property;M_PackKonto.Fremdeigentum;LOGICAL;ja/nein;
12;Pool;Pool Account;M_PackKonto.PoolKonto;INTEGER;zzzzzzz9;
