Teil;Lieferant;Beistellnummer;Beistellteil;Variante;Mengenfaktor;Vorlaufzeit;ZE Vorlaufzeit;KonsigLagerort;Lagerort;StüLiAuflösung;kommbez Beist
;0;1;;;1;0;4;?;?;0;yes
Column;Column Name;Description / Remark;Location in proALPHA;Data Type;Format
1;Teil;Part;E_ArtLiefBei.Artikel;CHARACTER;x(20);
2;Lieferant;Supplier;E_ArtLiefBei.Lieferant;INTEGER;zzzzzzzz;
3;Beistellnummer;Provided Parts Number;E_ArtLiefBei.BeistellNr;DECIMAL;zz9.9;
4;Beistellteil;Provided Part;E_ArtLiefBei.BeistellArtikel;CHARACTER;x(20);
5;Variante;Variant;E_ArtLiefBei.ArtVar;CHARACTER;x(6);
6;Mengenfaktor;Quantity Factor;E_ArtLiefBei.Mengenfaktor;DECIMAL;zzz,zz9.9999999;
7;Vorlaufzeit;Lead Time;E_ArtLiefBei.Vorlaufzeit;INTEGER;zz9;
8;ZE Vorlaufzeit;Lead Time Unit;E_ArtLiefBei.Vorlaufzeiteinheit;CHARACTER;9;
9;KonsigLagerort;Consignment Storage Area;E_ArtLiefBei.KO_LagerOrt;INTEGER;zzzzzzz9;
10;Lagerort;Storage Area;E_ArtLiefBei.LagerOrt;INTEGER;zzzzzzz9;
11;StüLiAuflösung;BOM Explosion;E_ArtLiefBei.BOMExplosion;INTEGER;9;
12;kommbez Beist;CRO Relation;E_ArtLiefBei.KommissionsBezug;LOGICAL;ja/nein;
